"workstream_record_id","search_source","query_id","search_date","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","notes"
"A0011","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Optimization of 13C isotopic tracers for metabolic flux analysis in mammalian cells","Jason L. Walther; Christian M. Metallo; Jie Zhang; Gregory Stephanopoulos","2011","10.1016/j.ymben.2011.12.004","https://openalex.org/W1999612141","A-DUP-0010","FULL_TEXT_INCLUDED","","LEVEL_1_LOAD_BEARING","P0007","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0012","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","13C Metabolic Flux Analysis Identifies an Unusual Route for Pyruvate Dissimilation in Mycobacteria which Requires Isocitrate Lyase and Carbon Dioxide Fixation","Dany J. V. Beste; Bhushan Bonde; N. Hawkins; Jane L. Ward; Michael H. Beale; Stephan Noack; Katharina Nöh; Nicholas J. Kruger; R. George Ratcliffe; Johnjoe McFadden","2011","10.1371/journal.ppat.1002091","https://openalex.org/W2024455490","A-DUP-0011","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0013","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","SUMOFLUX: A Generalized Method for Targeted 13C Metabolic Flux Ratio Analysis","Maria Zimmermann‐Kogadeeva; Nicola Zamboni","2016","10.1371/journal.pcbi.1005109","https://openalex.org/W2520030234","A-DUP-0012","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0014","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Fructose metabolism in humans – what isotopic tracer studies tell us","Sam Z. Sun; Mark W. Empie","2012","10.1186/1743-7075-9-89","https://openalex.org/W2104918317","A-DUP-0013","TITLE_ABSTRACT_INCLUDED","","LEVEL_2_SUPPORTING","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0015","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","The Protein Cost of Metabolic Fluxes: Prediction from Enzymatic Rate Laws and Cost Minimization","Εlad Noor; Avi I. Flamholz; Arren Bar‐Even; Dan Davidi; Ron Milo; Wolfram Liebermeister","2016","10.1371/journal.pcbi.1005167","https://openalex.org/W2312280072","A-DUP-0014","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0016","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","A comprehensive metabolic profile of cultured astrocytes using isotopic transient metabolic flux analysis and 13C-labeled glucose","Ana I. Amaral","2011","10.3389/fnene.2011.00005","https://openalex.org/W1985651814","A-DUP-0015","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0017","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Isotopically nonstationary metabolic flux analysis (INST-MFA): putting theory into practice","Yi Ern Cheah; Jamey D. Young","2018","10.1016/j.copbio.2018.02.013","https://openalex.org/W2806788718","A-DUP-0016","TITLE_ABSTRACT_INCLUDED","","LEVEL_2_SUPPORTING","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0018","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Rapid Analysis of Glycolytic and Oxidative Substrate Flux of Cancer Cells in a Microplate","Lisa Winer; Min Wu","2014","10.1371/journal.pone.0109916","https://openalex.org/W2002215164","A-DUP-0017","TITLE_ABSTRACT_EXCLUDED","UNRELATED_TO_13C_MFA_EXPERIMENTAL_DESIGN","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0019","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","13C labeling experiments at metabolic nonstationary conditions: An exploratory study","A. Wahl; Katharina Nöh; Wolfgang Wiechert","2008","10.1186/1471-2105-9-152","https://openalex.org/W1992812133","A-DUP-0018","TITLE_ABSTRACT_INCLUDED","","LEVEL_2_SUPPORTING","P0046","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0020","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","13C metabolic flux analysis-guided metabolic engineering of Escherichia coli for improved acetol production from glycerol","Ruilian Yao; Jiawei Li; Lei Feng; Xuehong Zhang; Hongbo Hu","2019","10.1186/s13068-019-1372-4","https://openalex.org/W2914029604","A-DUP-0019","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0021","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","OpenFLUX2: 13C-MFA modeling software package adjusted for the comprehensive analysis of single and parallel labeling experiments","М.С. Шуплецов; L. I. Golubeva; Svetlana S Rubina; Dmitry A Podvyaznikov; Shintaro Iwatani; Sergey V. Mashko","2014","10.1186/s12934-014-0152-x","https://openalex.org/W2127636197","A-DUP-0020","TITLE_ABSTRACT_INCLUDED","","LEVEL_2_SUPPORTING","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0022","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Metabolic flux analysis in Ashbya gossypii using 13C-labeled yeast extract: industrial riboflavin production under complex nutrient conditions","Susanne Katharina Schwechheimer; Judith Becker; Lindsay Peyriga; Jean‐Charles Portais; Christoph Wittmann","2018","10.1186/s12934-018-1003-y","https://openalex.org/W2898008780","A-DUP-0021","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0023","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Tracing metabolic flux in vivo: basic model structures of tracer methodology","Il‐Young Kim; Sanghee Park; Yeongmin Kim; HeeJoo Kim; Robert R. Wolfe","2022","10.1038/s12276-022-00814-z","https://openalex.org/W4295079513","A-DUP-0022","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0024","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Flux-P: Automating Metabolic Flux Analysis","Birgitta E. Ebert; Anna-Lena Lamprecht; Bernhard Steffen; Lars M. Blank","2012","10.3390/metabo2040872","https://openalex.org/W2070395061","A-DUP-0023","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0025","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","The return of metabolism: biochemistry and physiology of the pentose phosphate pathway","Anna Stincone; Alessandro Prigione; Thorsten Cramer; Mirjam M. C. Wamelink; Kate Campbell; Eric C. Cheung; Viridiana Olín‐Sandoval; Nana‐Maria Grüning; Antje Krüger; Mohammad Tauqeer Alam; Markus A. Keller; Michael Breitenbach; Kevin M. Brindle; Joshua D. Rabinowitz; Markus Ralser","2014","10.1111/brv.12140","https://openalex.org/W1673751863","A-DUP-0024","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0026","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","IsoDesign: A software for optimizing the design of <sup>13</sup>C‐metabolic flux analysis experiments","Pierre Millard; Sergueï Sokol; Fabien Létisse; Jean‐Charles Portais","2013","10.1002/bit.24997","https://openalex.org/W2096303998","A-DUP-0003","DUPLICATE","DUPLICATE_RECORD_RETURNED_BY_EARLIER_PHASE2A_QUERY","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot. Abstract-level software/design lead; no load-bearing claim."
"A0027","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Metabolic Labeling of Proteins for Proteomics","Robert J. Beynon; Julie M. Pratt","2005","10.1074/mcp.r400010-mcp200","https://openalex.org/W2046602608","A-DUP-0025","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0028","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Model validation and selection in metabolic flux analysis and flux balance analysis","Joshua A. M. Kaste; Yair Shachar‐Hill","2023","10.1002/btpr.3413","https://openalex.org/W4361304224","A-DUP-0026","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0029","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Metabolic flux analysis: a comprehensive review on sample preparation, analytical techniques, data analysis, computational modelling, and main application areas","Bruna de Falco; Francesco Giannino; Fabrizio Cartenì; Stefano Mazzoleni; Dong‐Hyun Kim","2022","10.1039/d2ra03326g","https://openalex.org/W4294934919","A-DUP-0027","TITLE_ABSTRACT_EXCLUDED","SECONDARY_SOURCE_NOT_RETAINED_FOR_PRIMARY_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0030","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Metabolic Modelling as a Framework for Metabolomics Data Integration and Analysis","Svetlana Volkova; Marta R. A. Matos; Matthias Mattanovich; Igor Marín de Mas","2020","10.3390/metabo10080303","https://openalex.org/W3044317230","A-DUP-0028","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0031","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Comparative Genome-Scale Reconstruction of Gapless Metabolic Networks for Present and Ancestral Species","Esa Pitkänen; Paula Jouhten; Jian Hou; Muhammad Fahad Syed; Peter Blomberg; Jana Kludas; Merja Oja; Liisa Holm; Merja Penttilä; Juho Rousu; Mikko Arvas","2014","10.1371/journal.pcbi.1003465","https://openalex.org/W2084503127","A-DUP-0029","TITLE_ABSTRACT_EXCLUDED","UNRELATED_TO_13C_MFA_EXPERIMENTAL_DESIGN","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0032","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","13C-metabolic flux analysis of Clostridium ljungdahlii illuminates its core metabolism under mixotrophic culture conditions","Michael L. Dahle; Eleftherios T. Papoutsakis; Maciek R. Antoniewicz","2022","10.1016/j.ymben.2022.03.011","https://openalex.org/W4220909530","A-DUP-0030","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0033","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Visual workflows for 13 C-metabolic flux analysis","Katharina Nöh; Peter Droste; Wolfgang Wiechert","2014","10.1093/bioinformatics/btu585","https://openalex.org/W2150071383","A-DUP-0031","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0034","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Dissecting the genetic and metabolic mechanisms of adaptation to the knockout of a major metabolic enzyme in <i>Escherichia coli</i>","Christopher P. Long; Jacqueline E. Gonzalez; Adam M. Feist; Bernhard Ø. Palsson; Maciek R. Antoniewicz","2017","10.1073/pnas.1716056115","https://openalex.org/W2779511151","A-DUP-0032","TITLE_ABSTRACT_EXCLUDED","UNRELATED_TO_13C_MFA_EXPERIMENTAL_DESIGN","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0035","PubMed","PHASE2-SEARCH-0003","2026-07-31","A Pareto approach to resolve the conflict between information gain and experimental costs: Multiple-criteria design of carbon labeling experiments.","Nöh K; Niedenführ S; Beyß M; Wiechert W","2018","10.1371/journal.pcbi.1006533","PMID:30379837","A-DUP-0002","DUPLICATE","DUPLICATE_RECORD_RETURNED_BY_EARLIER_PHASE2A_QUERY","LEVEL_3_DISCOVERY_ONLY","P0036","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0036","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Metabolic networks in motion: 13C‐based flux analysis","Uwe Sauer","2006","10.1038/msb4100109","https://openalex.org/W2160079005","A-DUP-0033","TITLE_ABSTRACT_EXCLUDED","UNRELATED_TO_13C_MFA_EXPERIMENTAL_DESIGN","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0037","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","A guide to 13C metabolic flux analysis for the cancer biologist","Maciek R. Antoniewicz","2018","10.1038/s12276-018-0060-y","https://openalex.org/W2796927648","A-DUP-0034","TITLE_ABSTRACT_EXCLUDED","SECONDARY_SOURCE_NOT_RETAINED_FOR_PRIMARY_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0038","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Towards better understanding of industrial cell factories: novel approaches for 13C metabolic flux analysis in complex nutrient environments","Susanne Katharina Schwechheimer; Judith Becker; Christoph Wittmann","2018","10.1016/j.copbio.2018.07.001","https://openalex.org/W2887708028","A-DUP-0035","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0039","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","13C Metabolic Flux Analysis Identifies an Unusual Route for Pyruvate Dissimilation in Mycobacteria which Requires Isocitrate Lyase and Carbon Dioxide Fixation","Dany J. V. Beste; Bhushan Bonde; N. Hawkins; Jane L. Ward; Michael H. Beale; Stephan Noack; Katharina Nöh; Nicholas J. Kruger; R. George Ratcliffe; Johnjoe McFadden","2011","10.1371/journal.ppat.1002091","https://openalex.org/W2024455490","A-DUP-0011","DUPLICATE","DUPLICATE_RECORD_RETURNED_BY_EARLIER_PHASE2A_QUERY","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0040","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","The metabolic origins of non-photorespiratory CO2 release during photosynthesis: a metabolic flux analysis","Yuan Xu; Xinyu Fu; Thomas D. Sharkey; Yair Shachar‐Hill; Berkley J. Walker","2021","10.1093/plphys/kiab076","https://openalex.org/W3129607641","A-DUP-0036","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0041","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","OpenFLUX2: 13C-MFA modeling software package adjusted for the comprehensive analysis of single and parallel labeling experiments","М.С. Шуплецов; L. I. Golubeva; Svetlana S Rubina; Dmitry A Podvyaznikov; Shintaro Iwatani; Sergey V. Mashko","2014","10.1186/s12934-014-0152-x","https://openalex.org/W2127636197","A-DUP-0020","DUPLICATE","DUPLICATE_RECORD_RETURNED_BY_EARLIER_PHASE2A_QUERY","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0042","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Reconfiguration of metabolic fluxes in <i>Pseudomonas putida</i> as a response to sub-lethal oxidative stress","Pablo I. Nikel; Tobias Fuhrer; Max Chavarría; Alberto Sánchez-Pascuala; Uwe Sauer; Vı́ctor de Lorenzo","2021","10.1038/s41396-020-00884-9","https://openalex.org/W3119857353","A-DUP-0037","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0043","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Glucose-methanol co-utilization in Pichia pastoris studied by metabolomics and instationary 13C flux analysis","Joel Jordà; Camilo Suarez-Mendez; Marc Carnicer; Angela ten Pierick; Joseph J. Heijnen; Walter van Gulik; Pau Ferrer; Joan Albiol; A. Wahl","2013","10.1186/1752-0509-7-17","https://openalex.org/W2121264002","A-DUP-0038","TITLE_ABSTRACT_INCLUDED","","LEVEL_2_SUPPORTING","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0044","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Fluxome analysis using GC-MS.","Christoph Wittmann","2007","10.1186/1475-2859-6-6","https://openalex.org/W1793404797","A-DUP-0039","TITLE_ABSTRACT_EXCLUDED","UNRELATED_TO_13C_MFA_EXPERIMENTAL_DESIGN","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0045","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Non-stationary 13C metabolic flux analysis of Chinese hamster ovary cells in batch culture using extracellular labeling highlights metabolic reversibility and compartmentation","Averina Nicolae; Judith Wahrheit; Janina Bahnemann; An‐Ping Zeng; Elmar Heinzle","2014","10.1186/1752-0509-8-50","https://openalex.org/W2127397696","A-DUP-0040","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0046","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Integration of a constraint-based metabolic model of Brassica napus developing seeds with 13C-metabolic flux analysis","Jordan O. Hay; Hai Shi; Nicolas Heinzel; Inga Hebbelmann; Hardy Rolletschek; Jörg Schwender","2014","10.3389/fpls.2014.00724","https://openalex.org/W2008115217","A-DUP-0041","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0047","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","The failing heart utilizes 3-hydroxybutyrate as a metabolic stress defense","Julie L. Horton; Michael T. Davidson; Clara Kurishima; Rick B. Vega; J. Powers; Timothy Matsuura; Christopher Petucci; E. Douglas Lewandowski; Peter A. Crawford; Deborah M. Muoio; Fabio A. Recchia; Daniel P. Kelly","2019","10.1172/jci.insight.124079","https://openalex.org/W2913394347","A-DUP-0042","TITLE_ABSTRACT_EXCLUDED","UNRELATED_TO_13C_MFA_EXPERIMENTAL_DESIGN","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0048","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","A method for accounting for maintenance costs in flux balance analysis improves the prediction of plant cell metabolic phenotypes under stress conditions","C. Y. Maurice Cheung; Thomas Christopher Rhys Williams; Mark G. Poolman; David A. Fell; R. George Ratcliffe; Lee Sweetlove","2013","10.1111/tpj.12252","https://openalex.org/W1979294707","A-DUP-0043","TITLE_ABSTRACT_EXCLUDED","UNRELATED_TO_13C_MFA_EXPERIMENTAL_DESIGN","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0049","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Hybrid optimization for 13C metabolic flux analysis using systems parametrized by compactification","Tae Hoon Yang; Oliver Frick; Elmar Heinzle","2008","10.1186/1752-0509-2-29","https://openalex.org/W2162588510","A-DUP-0044","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0050","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","A 13C isotope labeling method for the measurement of lignin metabolic flux in Arabidopsis stems","Peng Wang; Longyun Guo; Rohit Jaini; Antje Klempien; Rachel M. McCoy; John A. Morgan; Natalia Dudareva; Clint Chapple","2018","10.1186/s13007-018-0318-3","https://openalex.org/W2809685580","A-DUP-0045","TITLE_ABSTRACT_INCLUDED","","LEVEL_2_SUPPORTING","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0051","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Biochemical pathways of amino acids in soil: Assessment by position-specific labeling and 13C-PLFA analysis","Carolin Apostel; Michaela A. Dippold; Bruno Glaser; Yakov Kuzyakov","2013","10.1016/j.soilbio.2013.08.005","https://openalex.org/W2107594253","A-DUP-0046","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0052","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Metabolic flux analysis: a comprehensive review on sample preparation, analytical techniques, data analysis, computational modelling, and main application areas","Bruna de Falco; Francesco Giannino; Fabrizio Cartenì; Stefano Mazzoleni; Dong‐Hyun Kim","2022","10.1039/d2ra03326g","https://openalex.org/W4294934919","A-DUP-0027","DUPLICATE","DUPLICATE_RECORD_RETURNED_BY_EARLIER_PHASE2A_QUERY","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0053","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","13C metabolic flux analysis-guided metabolic engineering of Escherichia coli for improved acetol production from glycerol","Ruilian Yao; Jiawei Li; Lei Feng; Xuehong Zhang; Hongbo Hu","2019","10.1186/s13068-019-1372-4","https://openalex.org/W2914029604","A-DUP-0019","DUPLICATE","DUPLICATE_RECORD_RETURNED_BY_EARLIER_PHASE2A_QUERY","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0054","OpenAlex","PHASE2-SEARCH-0004","2026-07-31","Flux-P: Automating Metabolic Flux Analysis","Birgitta E. Ebert; Anna-Lena Lamprecht; Bernhard Steffen; Lars M. Blank","2012","10.3390/metabo2040872","https://openalex.org/W2070395061","A-DUP-0023","DUPLICATE","DUPLICATE_RECORD_RETURNED_BY_EARLIER_PHASE2A_QUERY","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
