"workstream_record_id","search_source","query_id","search_date","title","year","doi_or_identifier","source_native_id","citation_anchor","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","notes"
"AC0011","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Resolving the TCA cycle and pentose-phosphate pathway of Clostridium acetobutylicum ATCC 824: Isotopomer analysis, in vitro activities and expression analysis","","10.1002/biot.201000282","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0011","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0012","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis of the mixotrophic metabolisms in the green sulfur bacterium Chlorobaculum tepidum","","10.1074/jbc.M110.162958","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0012","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0013","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","13C isotopomer analysis of glutamate by tandem mass spectrometry","","10.1006/abio.2001.5457","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0013","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0014","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Probing metabolic pathways with isotopic tracers: insights from mammalian metabolic physiology","","10.1016/j.ymben.2003.10.008","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0014","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0015","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Dynamic metabolic flux analysis (DMFA): A framework for determining fluxes at metabolic non-steady state","","10.1016/j.ymben.2011.09.010","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0015","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0016","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Evaluation of 13C isotopic tracers for metabolic flux analysis in mammalian cells","","10.1016/j.jbiotec.2009.07.010","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0016","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0017","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Bidirectional reaction steps in metabolic networks: IV. Optimal design of isotopomer labeling experiments","","10.1002/(sici)1097-0290(1999)66:2&lt;86::aid-bit2&gt;3.0.co;2-a","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0017","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0018","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Linking high-resolution metabolic flux phenotypes and transcriptional regulation in yeast modulated by the global regulator Gcn4p","","10.1073/pnas.0811091106","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0018","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0019","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Computational approaches in metabolic engineering","","10.1155/2010/207414","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0019","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0020","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic networks in motion: 13C-based flux analysis","","10.1038/msb4100109","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0020","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0021","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","A transient isotopic labeling methodology for 13C metabolic flux analysis of photoautotrophic microorganisms","","10.1016/j.phytochem.2007.03.042","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0021","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0022","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic fluxes and metabolic engineering","","10.1006/mben.1998.0101","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0022","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0023","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Biosynthetically directed fractional 13C-labeling of proteinogenic amino acids. An efficient analytical tool to investigate intermediary metabolism","","10.1111/j.1432-1033.1995.tb20829.x","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0023","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0024","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis using mass spectrometry","","10.1007/3-540-45736-4_3","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0024","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0025","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Theoretical aspects of 13C metabolic flux analysis with sole quantification of carbon dioxide labeling","","10.1016/j.compbiolchem.2005.02.005","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0025","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0026","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Respirometric 13C flux analysis, Part I: design, construction and validation of a novel multiple reactor system using on-line membrane inlet mass spectrometry","","10.1016/j.ymben.2006.03.001","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0026","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0027","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Quantifying reductive carboxylation flux of glutamine to lipid in a brown adipocyte cell line","","10.1074/jbc.M706494200","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0027","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0028","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","An elementary metabolite unit (EMU) based method of isotopically nonstationary flux analysis","","10.1002/bit.21632","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0028","TITLE_ABSTRACT_INCLUDED","","LEVEL_2_SUPPORTING","","Prospective backward-reference occurrence."
"AC0029","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","(13)C-based metabolic flux analysis","","10.1038/nprot.2009.58","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0029","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0030","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic networks in motion: 13 C-based flux analysis","","10.1038/msb4100109","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0020","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0031","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","(13)C-based metabolic flux analysis","","10.1038/nprot.2009.58","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0029","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0032","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic fluxes and metabolic engineering","","10.1006/mben.1998.0101","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0022","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0033","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Resolving the TCA cycle and pentose-phosphate pathway of Clostridium acetobutylicum ATCC 824: Isotopomer analysis, in vitro activities and expression analysis","","10.1002/biot.201000282","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0011","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0034","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Computational approaches in metabolic engineering","","10.1155/2010/207414","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0019","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0035","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Biosynthetically directed fractional 13 C-labeling of proteinogenic amino acids, An efficient analytical tool to investigate intermediary metabolism","","10.1111/j.1432-1033.1995.tb20829.x","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0023","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0036","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Accurate assessment of amino acid mass isotopomer distributions for metabolic flux analysis","","10.1021/ac0708893","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0004","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0037","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis using mass spectrometry","","10.1007/3-540-45736-4_3","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0024","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0038","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Measuring deuterium enrichment of glucose hydrogen atoms by gas chromatography/mass spectrometry","","10.1021/ac200012p","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0006","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0039","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Tandem mass spectrometry: A novel approach for metabolic flux analysis","","10.1016/j.ymben.2010.11.006","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0010","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0040","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","13 C isotopomer analysis of glutamate by tandem mass spectrometry","","10.1006/abio.2001.5457","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0013","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0041","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","A universal framework for 13 C metabolic flux analysis","","10.1006/mben.2001.0188","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0030","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0042","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Elementary metabolite units (EMU): a novel framework for modeling isotopic distributions","","10.1016/j.ymben.2006.09.001","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0005","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0043","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Dynamic metabolic flux analysis (DMFA): A framework for determining fluxes at metabolic non-steady state","","10.1016/j.ymben.2011.09.010","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0015","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0044","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis of CHO cells at growth and non-growth phases using isotopic tracers and mass spectrometry","","10.1016/j.ymben.2011.07.002","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0001","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0045","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis and pharmaceutical production","","10.1016/j.ymben.2009.10.004","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0031","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0046","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Evaluation of 13C isotopic tracers for metabolic flux analysis in mammalian cells","","10.1016/j.jbiotec.2009.07.010","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0016","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0047","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic Flux Analysis in Systems Biology of Mammalian Cells","","10.1007/10_2011_99","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0032","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0048","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis in eukaryotes","","10.1016/j.copbio.2010.01.011","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0033","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0049","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis in mammalian cell culture","","10.1016/j.ymben.2009.09.002","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0034","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0050","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Effect of anaplerotic fluxes and amino acid availability on hepatic lipoapoptosis","","10.1074/jbc.M109.049478","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0035","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0051","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Quantifying reductive carboxylation flux of glutamine to lipid in a brown adipocyte cell line","","10.1074/jbc.M706494200","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0027","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0052","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Cytosolic phosphoenolpyruvate carboxykinase does not solely control the rate of hepatic gluconeogenesis in the intact mouse liver","","10.1016/j.cmet.2007.03.004","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0036","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0053","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Impaired tricarboxylic acid cycle activity in mouse livers lacking cytosolic phosphoenolpyruvate carboxykinase","","10.1074/jbc.M407120200","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0037","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0054","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Methods for measuring gluconeogenesis in vivo","","10.1097/00075197-199809000-00016","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0038","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0055","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Ketogenic essential amino acids modulate lipid synthetic pathways and prevent hepatic steatosis in mice","","10.1371/journal.pone.0012057","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0039","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0056","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Optimization of 13C isotopic tracers for metabolic flux analysis in mammalian cells","","10.1016/j.ymben.2011.12.004","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0040","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0057","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis in a nonstationary system: fed-batch fermentation of a high yielding strain of E. coli producing 1,3-propanediol","","10.1016/j.ymben.2007.01.003","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0007","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0058","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis of CHO cell metabolism in the late non-growth phase","","10.1002/bit.22890","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0041","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0059","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Computational tools for isotopically instationary 13 C labeling experiments under metabolic steady state conditions","","10.1016/j.ymben.2006.05.006","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0042","TITLE_ABSTRACT_INCLUDED","","LEVEL_2_SUPPORTING","","Prospective backward-reference occurrence."
"AC0060","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Enhanced glycoprotein production in HEK-293 cells expressing pyruvate carboxylase","","10.1016/j.ymben.2011.05.004","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0043","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0061","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Respirometric 13 C flux analysis, Part I: design, construction and validation of a novel multiple reactor system using on-line membrane inlet mass spectrometry","","10.1016/j.ymben.2006.03.001","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0026","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0062","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Selection of tracers for 13 C-metabolic flux analysis using elementary metabolite units (EMU) basis vector methodology","","10.1016/j.ymben.2011.12.005","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0044","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0063","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Towards dynamic metabolic flux analysis in CHO cell cultures","","10.1002/biot.201100052","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0002","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0064","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Predicting outcomes of steady-state 13 C isotope tracing experiments with Monte Carlo sampling","","10.1186/1752-0509-6-9","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0045","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0065","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Bidirectional reaction steps in metabolic networks: IV. Optimal design of isotopomer labeling experiments","","10.1002/(sici)1097-0290(1999)66:2&lt;86::aid-bit2&gt;3.0.co;2-a","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0017","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0066","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Theoretical aspects of 13 C metabolic flux analysis with sole quantification of carbon dioxide labeling","","10.1016/j.compbiolchem.2005.02.005","","10.1186/1752-0509-6-43","A-CLOSE-DUP-0025","DUPLICATE","DUPLICATE_RECORD_RETURNED_EARLIER_IN_CLOSURE_PASS","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
