"phase2a1_record_id","query_id","search_date","search_source","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_depth","full_text_access_status","evidence_location","proposed_corpus_record","raw_snapshot","notes"
"A1DEF-0014","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Lab C: One-sample hypothesis testing, power, and sample size","Melody S. Goodman","2017","10.4324/9781315155661-11","https://doi.org/10.4324/9781315155661-11","A1DEF-DUP-0014","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0015","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Large Sample Hypothesis Testing","Anthony Almudevar","2021","10.1201/9781003049340-14","https://doi.org/10.1201/9781003049340-14","A1DEF-DUP-0015","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0016","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Bayesian t tests for accepting and rejecting the null hypothesis","Jeffrey N. Rouder; Paul L. Speckman; Dongchu Sun; Richard D. Morey; Geoffrey Iverson","2009","10.3758/pbr.16.2.225","https://openalex.org/W1978662219","A1DEF-DUP-0016","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0017","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Wilcoxon-Mann-Whitney or t-test? On assumptions for hypothesis tests and multiple interpretations of decision rules","Michael P. Fay; Michael A. Proschan","2010","10.1214/09-ss051","https://openalex.org/W1974828111","A1DEF-DUP-0017","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0018","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Model Selection and Model Averaging in Phylogenetics: Advantages of Akaike Information Criterion and Bayesian Approaches Over Likelihood Ratio Tests","David Posada; Thomas R. Buckley","2004","10.1080/10635150490522304","https://openalex.org/W2101846955","A1DEF-DUP-0018","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0019","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","On the use of Non-Local Prior Densities in Bayesian Hypothesis Tests","Valen E. Johnson; David Rossell","2010","10.1111/j.1467-9868.2009.00730.x","https://openalex.org/W2053675401","A1DEF-DUP-0019","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0020","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Pitfalls and Opportunities: What Macroeconomists Should Know about Unit Roots","John Y. Campbell; Pierre Perrón","1991","10.1086/654163","https://openalex.org/W3122245991","A1DEF-DUP-0020","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0021","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Panel cointegration tests of the Fisher effect","Joakim Westerlund","2007","10.1002/jae.967","https://openalex.org/W2025507654","A1DEF-DUP-0021","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0022","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Double/Debiased Machine Learning for Treatment and Structural Parameters","Victor Chernozhukov; Denis Chetverikov; Mert Demirer; Esther Duflo; Christian Hansen; Whitney K. Newey; James M. Robins","2017","10.3386/w23564","https://openalex.org/W2890118063","A1DEF-DUP-0022","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0023","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Choice of Sample Split in Out-of-Sample Forecast Evaluation","Peter Reinhard Hansen; Allan Timmermann","2012","https://openalex.org/W1526398682","https://openalex.org/W1526398682","A1DEF-DUP-0023","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0024","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Data-Driven Smooth Tests When the Hypothesis is Composite","W.C.M. Kallenberg; Teresa Ledwina","1997","10.1080/01621459.1997.10474065","https://openalex.org/W2132165960","A1DEF-DUP-0024","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0025","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","IceCube high-energy starting event sample: Description and flux characterization with 7.5 years of data","R. Abbasi; M. Ackermann; J. Adams; J. A. Aguilar; M. Ahlers; M. Ahrens; Cyril Martin Alispach; A. A. Alves; N. M. Amin; K. Andeen; T. Anderson; I. Ansseau; G. Anton; C. Argüelles; Spencer Axani; X. Bai; Aswathi Balagopal; Anastasia Maria Barbano; S. W. Barwick; Benjamin Bastian; Vedant Basu; V. Baum; S. Baur; R. Bay; J. J. Beatty; K. Becker; J. Becker Tjus; Chiara Bellenghi; S. BenZvi; D. Berley; E. Bernardini; D. Besson; G. Binder; D. Bindig; E. Blaufuss; Summer Blot; S. Böser; O. Botner; J. Böttcher; Etienne Bourbeau; J. Bourbeau; Federica Bradascio; J. Braun; S. Bron; Jannes Brostean-Kaiser; A. Burgman; Raffaela Busse; Michael Campana; C. Chen; D. Chirkin; S. Choi; Brian Clark; K. Clark; Lew Classen; Alan Coleman; G. H. Collin; J. M. Conrad; Paul Coppin; Pablo Correa; D. F. Cowen; R. Cross; Pranav Dave; C. De Clercq; James DeLaunay; H.-P. Dembinski; Kunal Deoskar; S. De Ridder; Abhishek Desai; P. Desiati; K. D. de Vries; G. de Wasseige; M. de With; T. DeYoung; Sukeerthi Dharani; A. Diaz; J. C. Díaz–Vélez; Hrvoje Dujmović; M. Dunkman; M. A. DuVernois; Emily Dvorak; Thomas Ehrhardt; P. Eller; R. Engel; John Evans; P. A. Evenson; S. Fahey; A. R. Fazely; Sebastian Fiedlschuster; Aaron Fienberg; K. Filimonov; C. Finley; Leander Fischer; D. B. Fox; A. Franckowiak; Edward Friedman; Alexander Fritz; Philipp Fürst; T. K. Gaisser; J. S. Gallagher; Erik Ganster","2021","10.1103/physrevd.104.022002","https://openalex.org/W3098322373","A1DEF-DUP-0025","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0026","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Consistent Testing for Stochastic Dominance under General Sampling Schemes","Oliver B. Linton; Esfandiar Maasoumi; Yoon‐Jae Whang","2005","10.1111/j.1467-937x.2005.00350.x","https://openalex.org/W2136168643","A1DEF-DUP-0026","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0027","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Precise determination of the mass of the Higgs boson and tests of compatibility of its couplings with the standard model predictions using proton collisions at 7 and 8 $$\,\text {TeV}$$ TeV","V. Khachatryan; A. M. Sirunyan; A. Tumasyan; W. Adam; T. Bergauer; M. Dragicevic; J. Erö; M. Friedl; R. Frühwirth; V. M. Ghete; C. Hartl; N. Hörmann; J. Hrubec; M. Jeitler; W. Kiesenhofer; V. Knünz; M. Krammer; I. Krätschmer; D. Liko; I. Mikulec; D. Rabady; B. Rahbaran; H. Rohringer; R. Schöfbeck; J. Strauss; W. Treberer-Treberspurg; W. Waltenberger; C.-E. Wulz; V. Mossolov; N. Shumeiko; J. Suarez Gonzalez; S. Alderweireldt; S. Bansal; T. Cornelis; E. A. De Wolf; X. Janssen; A. Knutsson; J. Lauwers; S. Luyckx; S. Ochesanu; R. Rougny; M. Van De Klundert; H. Van Haevermaet; P. Van Mechelen; N. Van Remortel; A. Van Spilbeeck; F. Blekman; S. Blyweert; J. D’Hondt; N. Daci; N. Heracleous; J. Keaveney; S. Lowette; M. Maes; A. Olbrechts; Q. Python; D. Strom; S. Tavernier; W. Van Doninck; P. Van Mulders; G. P. Van Onsem; I. Villella; C. Caillol; B. Clerbaux; G. De Lentdecker; D. Dobur; L. Favart; A. P. R. Gay; A. Grebenyuk; A. Léonard; A. Mohammadi; L. Perniè; A. Randle-conde; T. Reis; T. Ševa; L. Thomas; C. Vander Velde; P. Vanlaer; J. Wang; F. Zenoni; V. Adler; K. Beernaert; L. Benucci; A. Cimmino; S. Costantini; S. Crucy; A. Fagot; G. Garcia; J. Mccartin; A. A. Ocampo Rios; D. Poyraz; D. Ryckbosch; S. Salva Diblen; M. Sigamani; N. Strobbe; F. Thyssen; M. Tytgat; E. Yazgan; N. Zaganidis; S. Başeğmez","2015","10.1140/epjc/s10052-015-3351-7","https://openalex.org/W2079479731","A1DEF-DUP-0027","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0028","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Data driven smooth tests for composite hypotheses","Tadeusz Inglot; W.C.M. Kallenberg; Teresa Ledwina","1997","10.1214/aos/1069362746","https://openalex.org/W2096769784","A1DEF-DUP-0028","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0029","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Could Fisher, Jeffreys and Neyman Have Agreed on Testing?","James O. Berger","2003","10.1214/ss/1056397485","https://openalex.org/W2038290376","A1DEF-DUP-0029","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0030","PHASE2A1-SEARCH-0022","2026-07-31","OpenAlex","Reduced Basis Approximation and a Posteriori Error Estimation for Affinely Parametrized Elliptic Coercive Partial Differential Equations","Gianluigi Rozza; D.B.P. Huynh; A.T. Patera","2008","10.1007/s11831-008-9019-9","https://openalex.org/W2052690618","A1DEF-DUP-0030","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0022_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0031","PHASE2A1-SEARCH-0023","2026-07-31","Crossref","Robust Testing for Independent Non Identically Distributed Variables and Markov Chains","Lucien Birgé","1983","10.1007/978-1-4612-5503-1_9","https://doi.org/10.1007/978-1-4612-5503-1_9","A1DEF-DUP-0031","FULL_TEXT_UNAVAILABLE","No legally accessible primary full text was found in the bounded publisher/repository/author search; the chapter may contain constructive robust tests for independent non-identically distributed observations and Markov chains, so its guarantee and scope cannot be inferred from metadata.","LEVEL_1_LOAD_BEARING","FULL_TEXT_UNAVAILABLE","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0023_crossref.json","Not used for a substantive or absence conclusion."
"A1DEF-0032","PHASE2A1-SEARCH-0023","2026-07-31","Crossref","Testing hypotheses on independent, not identically distributed models","Wolfgang Wefelmeyer","1987","10.1007/978-94-009-3963-9_20","https://doi.org/10.1007/978-94-009-3963-9_20","A1DEF-DUP-0032","FULL_TEXT_UNAVAILABLE","No legally accessible primary full text found in the bounded publisher/repository/author search. The authoritative abstract describes an asymptotic power bound under contiguous alternatives, but the primary theorem could not be inspected.","LEVEL_1_LOAD_BEARING","FULL_TEXT_UNAVAILABLE","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0023_crossref.json","Not used for a substantive or absence conclusion."
"A1DEF-0033","PHASE2A1-SEARCH-0023","2026-07-31","Crossref","Maxima of independent, non-identically distributed Gaussian vectors","Sebastian Engelke; Zakhar Kabluchko; Martin Schlather","2015","10.3150/13-bej560","https://doi.org/10.3150/13-bej560","A1DEF-DUP-0033","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0023_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0034","PHASE2A1-SEARCH-0023","2026-07-31","Crossref","Robust Estimation in Models for Independent Non-Identically Distributed Data","Rudolf Beran","1982","10.1214/aos/1176345783","https://doi.org/10.1214/aos/1176345783","A1DEF-DUP-0034","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0023_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0035","PHASE2A1-SEARCH-0023","2026-07-31","Crossref","Non-asymptotic equipartition properties for independent and identically distributed sources","En-Hui Yang; Jin Meng","2012","10.1109/ita.2012.6181822","https://doi.org/10.1109/ita.2012.6181822","A1DEF-DUP-0035","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0023_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0036","PHASE2A1-SEARCH-0023","2026-07-31","Crossref","Asymptotic distribution of independent non identically distributed random vectors given their sum. Functional limit laws for the increments of Lévy processes","Dimbihery Rabenoro","","10.70675/ee22ea3ez985cz46c2zad01zc52f2800b2c5","https://doi.org/10.70675/ee22ea3ez985cz46c2zad01zc52f2800b2c5","A1DEF-DUP-0036","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0023_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0037","PHASE2A1-SEARCH-0023","2026-07-31","Crossref","On the uniform approximation of distribution functions of sums of independent non-identically distributed random variables","","1987","10.1515/9783112314227-095","https://doi.org/10.1515/9783112314227-095","A1DEF-DUP-0037","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0023_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
