"unique_record_id","title","authors","year","doi_or_identifier","source_occurrence_count","workstream","candidate_gap_affected","methodological_family","likely_load_bearing","current_evidence_depth","full_text_access_status","screening_priority","final_disposition","exclusion_reason","evidence_location","notes"
"P2UT-0011","Linear constraint relations in biochemical reaction systems: II. Diagnosis and estimation of gross errors","R. T. J. M. van der Heijden; B. Romein; Joseph J. Heijnen; C. Hellinga; K. Ch. A. M. Luyben","1994","10.1002/bit.260430104","1","D","none","model_misspecification_context","PERIPHERAL","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=DCL0099. Query IDs=PHASE2-SEARCH-0106. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0012","Model validation and selection in metabolic flux analysis and flux balance analysis","Joshua A. M. Kaste; Yair Shachar‐Hill","2023","10.1002/btpr.3413;pmid:36994165","3","B","GAP-01","metabolic_model_validation_or_discrimination","SUPPORTING","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_3","DEFERRED_RELEVANT_SUPPORTING","DEFERRED_FROM_NARROW_GAP01_GAP03_REPAIR; ORIGINAL_BROADER_PHASE2_RELEVANCE_PRESERVED","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=B-AUDIT-000028;ROOT-D0001;ROOT-D0002. Query IDs=PHASE2-SEARCH-0011;PHASE2-SEARCH-0100. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_SUPPORTING; original broader-review relevance preserved."
"P2UT-0013","Modeling and experimental design for metabolic flux analysis of lysine-producing Corynebacteria by mass spectrometry","","","10.1006/mben.2000.0178","1","A","none","domain_context_or_application","PERIPHERAL","TITLE_ABSTRACT_LEVEL","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=AC0197. Query IDs=PHASE2-SEARCH-0056. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0014","Optimal Experimental Design, Model Discrimination","Brecht M. R. Donckels","2013","10.1007/978-1-4419-9863-7_1228","1","C","GAP-01","experimental_design_for_model_discrimination","SUPPORTING","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_3","DEFERRED_RELEVANT_ADJACENT","ADJACENT_TO_BROADER_REVIEW_BUT_NOT_FULL_TEXT_PRIORITISED_FOR_NARROW_GAP01_GAP03_REPAIR","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0027. Query IDs=PHASE2-SEARCH-0022. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_ADJACENT; original broader-review relevance preserved."
"P2UT-0015","Elimination of Nuisance Parameters","J. K. Ghosh","1988","10.1007/978-1-4612-3894-2_7","1","C","GAP-01;GAP-03","nuisance_parameter_methods","SUPPORTING","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_3","DEFERRED_RELEVANT_ADJACENT","ADJACENT_TO_BROADER_REVIEW_BUT_NOT_FULL_TEXT_PRIORITISED_FOR_NARROW_GAP01_GAP03_REPAIR","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0490. Query IDs=PHASE2-SEARCH-0064. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_ADJACENT; original broader-review relevance preserved."
"P2UT-0016","Introduction to Chernoff (1959) Sequential Design of Experiments","P. K. Sen","1992","10.1007/978-1-4612-4380-9_26","1","C","GAP-01;GAP-03","active_sequential_or_controlled_testing","SUPPORTING","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_3","DEFERRED_RELEVANT_ADJACENT","ADJACENT_TO_BROADER_REVIEW_BUT_NOT_FULL_TEXT_PRIORITISED_FOR_NARROW_GAP01_GAP03_REPAIR","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0178. Query IDs=PHASE2-SEARCH-0028. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_ADJACENT; original broader-review relevance preserved."
"P2UT-0017","Sequential Design of Experiments","Herman Chernoff","1992","10.1007/978-1-4612-4380-9_27;10.1214/aoms/1177706205","2","C","GAP-01;GAP-03","active_sequential_or_controlled_testing","SUPPORTING","METADATA_OR_LEAD_ONLY","NOT_INSPECTED:paywalled_or_inaccessible","PRIORITY_3","DEFERRED_RELEVANT_ADJACENT","ADJACENT_TO_BROADER_REVIEW_BUT_NOT_FULL_TEXT_PRIORITISED_FOR_NARROW_GAP01_GAP03_REPAIR","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0176;C0177. Query IDs=PHASE2-SEARCH-0028. Existing corpus ID(s)=P0025. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_ADJACENT; original broader-review relevance preserved."
"P2UT-0018","Robust Testing for Independent Non Identically Distributed Variables and Markov Chains","Lucien Birgé","1983","10.1007/978-1-4612-5503-1_9","1","C","GAP-01;GAP-03","fixed_block_heterogeneous_composite_testing","LOAD_BEARING","METADATA_OR_LEAD_ONLY","NOT_INSPECTED:paywalled_or_inaccessible","PRIORITY_1","FULL_TEXT_UNAVAILABLE","Full text unavailable after bounded DOI, publisher, recognised-repository and author-route checks; no guarantee-level conclusion drawn.","Springer bibliographic record only: Robust and Nonlinear Time Series Analysis, Lecture Notes in Statistics 26, pp. 134-162; no theorem inspected.","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0402. Query IDs=PHASE2-SEARCH-0062. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 closure: this record remains potentially consequential for independent non-identically distributed robust testing but cannot support synthesis without manual/library full text; see audit/phase2a1_priority18_closure.csv."
"P2UT-0019","Optimal Design for Model Discrimination: Choosing the Best Spacing and Density of Design Points","W. G. Bardsley; E. M. Melikhova","1993","10.1007/978-1-4615-2962-0_72","1","C","GAP-01","experimental_design_for_model_discrimination","SUPPORTING","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_3","DEFERRED_RELEVANT_ADJACENT","ADJACENT_TO_BROADER_REVIEW_BUT_NOT_FULL_TEXT_PRIORITISED_FOR_NARROW_GAP01_GAP03_REPAIR","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0041. Query IDs=PHASE2-SEARCH-0022. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_ADJACENT; original broader-review relevance preserved."
"P2UT-0020","Isotopically Nonstationary Metabolic Flux Analysis (INST-MFA) of Photosynthesis and Photorespiration in Plants","","2017","10.1007/978-1-4939-7225-8_12","1","A","none","domain_context_or_application","PERIPHERAL","TITLE_ABSTRACT_LEVEL","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=AC0345. Query IDs=PHASE2-SEARCH-0059. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0021","Using Multiple Tracers for 13C Metabolic Flux Analysis","Maciek R. Antoniewicz","2013","10.1007/978-1-62703-299-5_17","1","A","none","domain_context_or_application","PERIPHERAL","TITLE_ABSTRACT_LEVEL","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=A0162. Query IDs=PHASE2-SEARCH-0009. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0022","Isotopically Nonstationary 13C Metabolic Flux Analysis","","2013","10.1007/978-1-62703-299-5_18","1","A","none","domain_context_or_application","PERIPHERAL","TITLE_ABSTRACT_LEVEL","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=AC0322. Query IDs=PHASE2-SEARCH-0060. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0023","Isotopically Nonstationary MFA (INST-MFA) of Autotrophic Metabolism","","2013","10.1007/978-1-62703-688-7_12","1","A","none","domain_context_or_application","PERIPHERAL","TITLE_ABSTRACT_LEVEL","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=AC0344. Query IDs=PHASE2-SEARCH-0059. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0024","Optimal Input Design for Model Selection in Systems with Cell-to-Cell Variability","not completely exposed","2025","10.1007/978-3-032-01436-8_13","1","B","GAP-01","metabolic_model_validation_or_discrimination","SUPPORTING","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_3","DEFERRED_RELEVANT_SUPPORTING","DEFERRED_FROM_NARROW_GAP01_GAP03_REPAIR; ORIGINAL_BROADER_PHASE2_RELEVANCE_PRESERVED","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=B-AUDIT-000189. Query IDs=PHASE2-SEARCH-0111. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_SUPPORTING; original broader-review relevance preserved."
"P2UT-0025","Pure Likelihood Methods and Nuisance Parameters","Charles A. Rohde","2014","10.1007/978-3-319-10461-4_18","1","C","GAP-01;GAP-03","nuisance_parameter_methods","SUPPORTING","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_3","DEFERRED_RELEVANT_ADJACENT","ADJACENT_TO_BROADER_REVIEW_BUT_NOT_FULL_TEXT_PRIORITISED_FOR_NARROW_GAP01_GAP03_REPAIR","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0482. Query IDs=PHASE2-SEARCH-0064. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_ADJACENT; original broader-review relevance preserved."
"P2UT-0026","Robust Hypothesis Testing with a Single Distance","Gökhan Gül","2017","10.1007/978-3-319-49286-5_3","1","C","GAP-01;GAP-03","robust_composite_testing","LOAD_BEARING","METADATA_OR_LEAD_ONLY","NOT_INSPECTED:paywalled_or_inaccessible","PRIORITY_1","FULL_TEXT_UNAVAILABLE","Full text unavailable after bounded DOI, publisher, recognised-repository and author-route checks; use verified primary papers rather than this chapter.","Springer chapter metadata only, pp. 23-52; no theorem inspected.","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0286. Query IDs=PHASE2-SEARCH-0032. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 closure: P0041, C0650 and C0652 provide overlapping verified primary evidence but do not verify every chapter assertion; see audit/phase2a1_priority18_closure.csv."
"P2UT-0027","Robust Hypothesis Testing with Multiple Distances","Gökhan Gül","2017","10.1007/978-3-319-49286-5_4","1","C","GAP-01;GAP-03","robust_composite_testing","LOAD_BEARING","METADATA_OR_LEAD_ONLY","NOT_INSPECTED:paywalled_or_inaccessible","PRIORITY_1","FULL_TEXT_UNAVAILABLE","Full text unavailable after bounded DOI, publisher, recognised-repository and author-route checks; table-of-contents section titles are not theorem evidence.","Springer chapter metadata only, pp. 53-80, including listed Section 4.4.2; the section itself was not inspected.","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0283. Query IDs=PHASE2-SEARCH-0032. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 closure: P0041 and C0656 verify overlapping primary theory but not this exact chapter; see audit/phase2a1_priority18_closure.csv."
