"discovery_id","search_id","source","search_date","title","authors","year","doi_or_identifier","url","duplicate_group","screening_state","exclusion_reason","software_name","evidence_level","final_corpus_id","notes"
"E-D0012","PHASE2-SEARCH-0043","PubMed","2026-07-31","13CFLUX2--high-performance software suite for (13)C-metabolic flux analysis.","Weitzel M","2013","PMID:23110970","https://pubmed.ncbi.nlm.nih.gov/23110970/","13CFLUX2","TITLE_ABSTRACT_INCLUDED","NA","13CFLUX2","LEVEL_2_SUPPORTING","","Software paper; capability claims require repository/document inspection."
"E-D0013","PHASE2-SEARCH-0047","PubMed","2026-07-31","OpenMebius: an open source software for isotopically nonstationary 13C-based metabolic flux analysis.","Kajihata S","2014","PMID:25006579","https://pubmed.ncbi.nlm.nih.gov/25006579/","OpenMebius","TITLE_ABSTRACT_INCLUDED","NA","OpenMebius","LEVEL_2_SUPPORTING","S0006","Software paper; capability claims require repository/document inspection."
"E-D0014","PHASE2-SEARCH-0046","Crossref","2026-07-31","OpenFLUX: efficient modelling software for 13C-based metabolic flux analysis","Lake-Ee Quek; Christoph Wittmann; Lars K Nielsen; Jens O Krömer","2009","10.1186/1475-2859-8-25","https://doi.org/10.1186/1475-2859-8-25","OpenFLUX","TITLE_ABSTRACT_INCLUDED","NA","OpenFLUX","LEVEL_2_SUPPORTING","","Bibliographic support only; official implementation evidence assessed separately."
"E-D0015","PHASE2-SEARCH-0046","Crossref","2026-07-31","Simple, efficient allocation of modelling runs on heterogeneous clusters with MPI","David I. Donato","2017","10.1016/j.envsoft.2016.11.003","https://doi.org/10.1016/j.envsoft.2016.11.003","E-SINGLE-E-D0015","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about OpenFLUX software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0016","PHASE2-SEARCH-0046","Crossref","2026-07-31","Computationally efficient modelling of tidal rivers using conceptual reservoir-type models","Pieter Meert; Fernando Pereira; Patrick Willems","2016","10.1016/j.envsoft.2015.11.010","https://doi.org/10.1016/j.envsoft.2015.11.010","E-SINGLE-E-D0016","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about OpenFLUX software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0017","PHASE2-SEARCH-0046","Crossref","2026-07-31","Cost-efficient climate policies for interdependent carbon pools","Katarina Elofsson; Ing-Marie Gren","2018","10.1016/j.envsoft.2017.12.006","https://doi.org/10.1016/j.envsoft.2017.12.006","E-SINGLE-E-D0017","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about OpenFLUX software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0018","PHASE2-SEARCH-0046","Crossref","2026-07-31","A computationally efficient approach for watershed scale spatial optimization","R. Cibin; I. Chaubey","2015","10.1016/j.envsoft.2014.12.014","https://doi.org/10.1016/j.envsoft.2014.12.014","E-SINGLE-E-D0018","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about OpenFLUX software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0019","PHASE2-SEARCH-0046","Crossref","2026-07-31","Modelling and search: Efficient, practical, and innovative approaches to software engineering","Simon Poulding","2013","10.1109/cmsbse.2013.6604428","https://doi.org/10.1109/cmsbse.2013.6604428","E-SINGLE-E-D0019","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about OpenFLUX software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0020","PHASE2-SEARCH-0046","Crossref","2026-07-31","Memory-efficient flow accumulation using a look-around approach and its OpenMP parallelization","Huidae Cho","2023","10.1016/j.envsoft.2023.105771","https://doi.org/10.1016/j.envsoft.2023.105771","E-SINGLE-E-D0020","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about OpenFLUX software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0021","PHASE2-SEARCH-0046","Crossref","2026-07-31","Robust and computationally efficient design for run-of-river hydropower","Veysel Yildiz; Solomon Brown; Charles Rougé","2025","10.1016/j.envsoft.2024.106220","https://doi.org/10.1016/j.envsoft.2024.106220","E-SINGLE-E-D0021","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about OpenFLUX software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0022","PHASE2-SEARCH-0046","Crossref","2026-07-31","Is VARS more intuitive and efficient than Sobol’ indices?","Arnald Puy; Samuele Lo Piano; Andrea Saltelli","2021","10.1016/j.envsoft.2021.104960","https://doi.org/10.1016/j.envsoft.2021.104960","E-SINGLE-E-D0022","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about OpenFLUX software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0023","PHASE2-SEARCH-0046","Crossref","2026-07-31","EfficientRainNet: Leveraging EfficientNetV2 for memory-efficient rainfall nowcasting","Muhammed Sit; Bong-Chul Seo; Bekir Demiray; Ibrahim Demir","2024","10.1016/j.envsoft.2024.106001","https://doi.org/10.1016/j.envsoft.2024.106001","E-SINGLE-E-D0023","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about OpenFLUX software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0024","PHASE2-SEARCH-0049","Crossref","2026-07-31","13C-Metabolic Flux Analysis and Metabolic Regulation","Yu Matsuoka; Kazuyuki Shimizu","2012","10.5772/35121","https://doi.org/10.5772/35121","E-SINGLE-E-D0024","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0025","PHASE2-SEARCH-0049","Crossref","2026-07-31","Investigating E. coli Coculture for Resveratrol Production with 13C Metabolic Flux Analysis","NR","NR","10.1021/acs.jafc.9b07628.s001","https://doi.org/10.1021/acs.jafc.9b07628.s001","E-SINGLE-E-D0025","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0026","PHASE2-SEARCH-0049","Crossref","2026-07-31","13C Metabolic Flux Analysis","Wolfgang Wiechert","2001","10.1006/mben.2001.0187","https://doi.org/10.1006/mben.2001.0187","E-SINGLE-E-D0026","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0027","PHASE2-SEARCH-0049","Crossref","2026-07-31","Discrimination of Microalgal Cellular Metabolic Heterogeneity and 13C Metabolic Flux Analysis via Micro Label-Free Mass Cytometry","NR","NR","10.1021/acs.analchem.5c03905.s004","https://doi.org/10.1021/acs.analchem.5c03905.s004","E-SINGLE-E-D0027","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0028","PHASE2-SEARCH-0049","Crossref","2026-07-31","Discrimination of Microalgal Cellular Metabolic Heterogeneity and 13C Metabolic Flux Analysis via Micro Label-Free Mass Cytometry","NR","NR","10.1021/acs.analchem.5c03905.s002","https://doi.org/10.1021/acs.analchem.5c03905.s002","E-SINGLE-E-D0028","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0029","PHASE2-SEARCH-0049","Crossref","2026-07-31","Discrimination of Microalgal Cellular Metabolic Heterogeneity and 13C Metabolic Flux Analysis via Micro Label-Free Mass Cytometry","NR","NR","10.1021/acs.analchem.5c03905.s001","https://doi.org/10.1021/acs.analchem.5c03905.s001","E-SINGLE-E-D0029","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0030","PHASE2-SEARCH-0049","Crossref","2026-07-31","Discrimination of Microalgal Cellular Metabolic Heterogeneity and 13C Metabolic Flux Analysis via Micro Label-Free Mass Cytometry","NR","NR","10.1021/acs.analchem.5c03905.s003","https://doi.org/10.1021/acs.analchem.5c03905.s003","E-SINGLE-E-D0030","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0031","PHASE2-SEARCH-0049","Crossref","2026-07-31","13C-Metabolic flux analysis of soybean somatic embryos for identification of metabolic control points in developing seed","Quyen Xuan Truong","NR","10.31274/etd-180810-3030","https://doi.org/10.31274/etd-180810-3030","E-SINGLE-E-D0031","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0032","PHASE2-SEARCH-0049","Crossref","2026-07-31","Parallel labeling experiments with [U-13C]glucose validate E. coli metabolic network model for 13C metabolic flux analysis","Robert W. Leighty; Maciek R. Antoniewicz","2012","10.1016/j.ymben.2012.06.003","https://doi.org/10.1016/j.ymben.2012.06.003","E-SINGLE-E-D0032","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0033","PHASE2-SEARCH-0049","Crossref","2026-07-31","13C metabolic flux analysis at a genome-scale","Saratram Gopalakrishnan; Costas D. Maranas","2015","10.1016/j.ymben.2015.08.006","https://doi.org/10.1016/j.ymben.2015.08.006","E-SINGLE-E-D0033","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Metran software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0034","PHASE2-SEARCH-0051","Crossref","2026-07-31","Isotope Labeling","NR","NR","10.1007/springerreference_35696","https://doi.org/10.1007/springerreference_35696","E-SINGLE-E-D0034","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0035","PHASE2-SEARCH-0051","Crossref","2026-07-31","Escherichia coli Cell-Free Protein Synthesis and Isotope Labeling of Mammalian Proteins","NR","2015","10.1016/bs.mie.2015.08.035","https://doi.org/10.1016/bs.mie.2015.08.035","E-SINGLE-E-D0035","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0036","PHASE2-SEARCH-0051","Crossref","2026-07-31","Isotope Labeling of Proteins in Insect Cells","Lukasz Skora; Binesh Shrestha; Alvar D. Gossert","2015","10.1016/bs.mie.2015.05.013","https://doi.org/10.1016/bs.mie.2015.05.013","E-SINGLE-E-D0036","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0037","PHASE2-SEARCH-0051","Crossref","2026-07-31","Isotope Labeling of Biomolecules","Miklos Guttman; Kelly K. Lee","2016","10.1016/bs.mie.2015.05.021","https://doi.org/10.1016/bs.mie.2015.05.021","E-SINGLE-E-D0037","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0038","PHASE2-SEARCH-0051","Crossref","2026-07-31","Isotope Labeling of Biomolecules - Labeling Methods","NR","2015","10.1016/s0076-6879(15)x0017-6","https://doi.org/10.1016/s0076-6879(15)x0017-6","E-SINGLE-E-D0038","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0039","PHASE2-SEARCH-0051","Crossref","2026-07-31","Supplemental Information 1: Stable isotope labeling results.","NR","NR","10.7717/peerj.8363/supp-1","https://doi.org/10.7717/peerj.8363/supp-1","E-SINGLE-E-D0039","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0040","PHASE2-SEARCH-0051","Crossref","2026-07-31","Novel Stable-Isotope Labeling for Quantitative Proteomics","NR","NR","10.1021/ac0348625.s001","https://doi.org/10.1021/ac0348625.s001","E-SINGLE-E-D0040","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0041","PHASE2-SEARCH-0051","Crossref","2026-07-31","Effective Isotope Labeling of Proteins in a Mammalian Expression System","Mallika Sastry; Carole A. Bewley; Peter D. Kwong","2015","10.1016/bs.mie.2015.09.021","https://doi.org/10.1016/bs.mie.2015.09.021","E-SINGLE-E-D0041","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0042","PHASE2-SEARCH-0051","Crossref","2026-07-31","Copyright","NR","2015","10.1016/s0076-6879(15)00619-9","https://doi.org/10.1016/s0076-6879(15)00619-9","E-SINGLE-E-D0042","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0043","PHASE2-SEARCH-0051","Crossref","2026-07-31","Contributors","NR","2015","10.1016/s0076-6879(15)00621-7","https://doi.org/10.1016/s0076-6879(15)00621-7","E-SINGLE-E-D0043","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about sysmetab software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0044","PHASE2-SEARCH-0052","Crossref","2026-07-31","Figure 2. Metabolic flux in day 4 GRU102 modeled by metabolic flux balance analysis.","NR","NR","10.7554/elife.50069.005","https://doi.org/10.7554/elife.50069.005","E-SINGLE-E-D0044","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0045","PHASE2-SEARCH-0052","Crossref","2026-07-31","Flux-Related Metabolic Network Descriptions","NR","NR","10.1007/springerreference_168337","https://doi.org/10.1007/springerreference_168337","E-SINGLE-E-D0045","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0046","PHASE2-SEARCH-0052","Crossref","2026-07-31","Supplementary file 1. Nutritional and metabolic parameters used in metabolic flux balance analysis.","NR","NR","10.7554/elife.50069.026","https://doi.org/10.7554/elife.50069.026","E-SINGLE-E-D0046","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0047","PHASE2-SEARCH-0052","Crossref","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","NR","2023","10.1002/btpr.3413/v2/review1","https://doi.org/10.1002/btpr.3413/v2/review1","E-SINGLE-E-D0047","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0048","PHASE2-SEARCH-0052","Crossref","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","NR","2023","10.1002/btpr.3413/v1/review2","https://doi.org/10.1002/btpr.3413/v1/review2","E-SINGLE-E-D0048","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0049","PHASE2-SEARCH-0052","Crossref","2026-07-31","13C Metabolic Flux Analysis","Wolfgang Wiechert","2001","10.1006/mben.2001.0187","https://doi.org/10.1006/mben.2001.0187","E-SINGLE-E-D0049","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0050","PHASE2-SEARCH-0052","Crossref","2026-07-31","Rethinking 13C-metabolic flux analysis – The Bayesian way of flux inference","Axel Theorell; Johann F. Jadebeck; Wolfgang Wiechert; Johnjoe McFadden; Katharina Nöh","2024","10.1016/j.ymben.2024.03.005","https://doi.org/10.1016/j.ymben.2024.03.005","E-SINGLE-E-D0050","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0051","PHASE2-SEARCH-0052","Crossref","2026-07-31","Metabolic Flux Analysis for Escherichia coli by Flux Balance Analysis","Yu Matsuoka; Kazuyuki Shimizu","2014","10.1007/978-1-4939-1170-7_15","https://doi.org/10.1007/978-1-4939-1170-7_15","E-SINGLE-E-D0051","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0052","PHASE2-SEARCH-0052","Crossref","2026-07-31","Metabolic Flux Analysis","Maria Klapa","2009","10.1201/9781439802977.ch15","https://doi.org/10.1201/9781439802977.ch15","E-SINGLE-E-D0052","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0053","PHASE2-SEARCH-0052","Crossref","2026-07-31","13C-Metabolic Flux Analysis and Metabolic Regulation","Yu Matsuoka; Kazuyuki Shimizu","2012","10.5772/35121","https://doi.org/10.5772/35121","E-SINGLE-E-D0053","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about Isodyn software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0054","PHASE2-SEARCH-0053","Crossref","2026-07-31","ScalaFlux: a scalable approach to quantify fluxes in metabolic subnetworks","Pierre Millard; Uwe Schmitt; Patrick Kiefer; Julia A. Vorholt; Stéphanie Heux; Jean-Charles Portais","2019","10.1101/735308","https://doi.org/10.1101/735308","ScalaFlux","TITLE_ABSTRACT_INCLUDED","NA","ScalaFlux","LEVEL_2_SUPPORTING","","Bibliographic support only; official implementation evidence assessed separately."
"E-D0055","PHASE2-SEARCH-0053","Crossref","2026-07-31","Figure 2. Metabolic flux in day 4 GRU102 modeled by metabolic flux balance analysis.","NR","NR","10.7554/elife.50069.005","https://doi.org/10.7554/elife.50069.005","E-SINGLE-E-D0055","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about ScalaFlux software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0056","PHASE2-SEARCH-0053","Crossref","2026-07-31","Flux-Related Metabolic Network Descriptions","NR","NR","10.1007/springerreference_168337","https://doi.org/10.1007/springerreference_168337","E-SINGLE-E-D0056","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about ScalaFlux software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0057","PHASE2-SEARCH-0053","Crossref","2026-07-31","ScalaFlux: A scalable approach to quantify fluxes in metabolic subnetworks","Pierre Millard; Uwe Schmitt; Patrick Kiefer; Julia A. Vorholt; Stéphanie Heux; Jean-Charles Portais","2020","10.1371/journal.pcbi.1007799","https://doi.org/10.1371/journal.pcbi.1007799","ScalaFlux","TITLE_ABSTRACT_INCLUDED","NA","ScalaFlux","LEVEL_2_SUPPORTING","","Bibliographic support only; official implementation evidence assessed separately."
"E-D0058","PHASE2-SEARCH-0053","Crossref","2026-07-31","Supplementary file 1. Nutritional and metabolic parameters used in metabolic flux balance analysis.","NR","NR","10.7554/elife.50069.026","https://doi.org/10.7554/elife.50069.026","E-SINGLE-E-D0058","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about ScalaFlux software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0059","PHASE2-SEARCH-0053","Crossref","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","NR","2023","10.1002/btpr.3413/v2/review1","https://doi.org/10.1002/btpr.3413/v2/review1","E-SINGLE-E-D0059","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about ScalaFlux software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0060","PHASE2-SEARCH-0053","Crossref","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","NR","2023","10.1002/btpr.3413/v1/review2","https://doi.org/10.1002/btpr.3413/v1/review2","E-SINGLE-E-D0060","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about ScalaFlux software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0061","PHASE2-SEARCH-0053","Crossref","2026-07-31","13C Metabolic Flux Analysis","Wolfgang Wiechert","2001","10.1006/mben.2001.0187","https://doi.org/10.1006/mben.2001.0187","E-SINGLE-E-D0061","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about ScalaFlux software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0062","PHASE2-SEARCH-0053","Crossref","2026-07-31","Rethinking 13C-metabolic flux analysis – The Bayesian way of flux inference","Axel Theorell; Johann F. Jadebeck; Wolfgang Wiechert; Johnjoe McFadden; Katharina Nöh","2024","10.1016/j.ymben.2024.03.005","https://doi.org/10.1016/j.ymben.2024.03.005","E-SINGLE-E-D0062","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about ScalaFlux software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0063","PHASE2-SEARCH-0053","Crossref","2026-07-31","Metabolic Flux Analysis for Escherichia coli by Flux Balance Analysis","Yu Matsuoka; Kazuyuki Shimizu","2014","10.1007/978-1-4939-1170-7_15","https://doi.org/10.1007/978-1-4939-1170-7_15","E-SINGLE-E-D0063","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about ScalaFlux software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0064","PHASE2-SEARCH-0054","Crossref","2026-07-31","Quadrupole Mass Analyzer","NR","NR","10.1007/springerreference_36521","https://doi.org/10.1007/springerreference_36521","E-SINGLE-E-D0064","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about MIA software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0065","PHASE2-SEARCH-0054","Crossref","2026-07-31","MIA: non-targeted mass isotopolome analysis","Daniel Weindl; Andre Wegner; Karsten Hiller","2016","10.1093/bioinformatics/btw317","https://doi.org/10.1093/bioinformatics/btw317","MIA","TITLE_ABSTRACT_INCLUDED","NA","MIA","LEVEL_2_SUPPORTING","","Bibliographic support only; official implementation evidence assessed separately."
"E-D0066","PHASE2-SEARCH-0054","Crossref","2026-07-31","Miniaturized Linear Wire Ion Trap Mass Analyzer","NR","NR","10.1021/acs.analchem.6b01830.s001","https://doi.org/10.1021/acs.analchem.6b01830.s001","E-SINGLE-E-D0066","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about MIA software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0067","PHASE2-SEARCH-0054","Crossref","2026-07-31","Mass Analyzer","NR","2020","10.32388/99dw8p","https://doi.org/10.32388/99dw8p","E-SINGLE-E-D0067","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about MIA software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0068","PHASE2-SEARCH-0054","Crossref","2026-07-31","Principles of Operation of a Rotating Wall Mass Analyzer for Preparative Mass Spectrometry","NR","NR","10.1021/jasms.0c00140.s001","https://doi.org/10.1021/jasms.0c00140.s001","E-SINGLE-E-D0068","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about MIA software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0069","PHASE2-SEARCH-0054","Crossref","2026-07-31","Characterization of the Spectral Accuracy of an Orbitrap Mass Analyzer Using Isotope Ratio Mass Spectrometry","NR","NR","10.1021/acs.analchem.7b03983.s001","https://doi.org/10.1021/acs.analchem.7b03983.s001","E-SINGLE-E-D0069","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about MIA software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0070","PHASE2-SEARCH-0054","Crossref","2026-07-31","The Carrier Proteome Should Be Reassessed for Each Mass Analyzer Architecture","NR","NR","10.1021/jasms.4c00173.s001","https://doi.org/10.1021/jasms.4c00173.s001","E-SINGLE-E-D0070","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about MIA software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0071","PHASE2-SEARCH-0054","Crossref","2026-07-31","Performance of a Mass Analyzer with Orbital Trapping  for Peptide Analysis","NR","NR","10.1021/ac0514624.s001","https://doi.org/10.1021/ac0514624.s001","E-SINGLE-E-D0071","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about MIA software","","LEVEL_3_DISCOVERY_ONLY","",""
