"phase2a1_record_id","workstream_families","query_id","search_date","search_source","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","canonical_record_id","deduplication_basis","source_ledger","source_duplicate_group","source_screening_state","screening_state","source_exclusion_reason","exclusion_reason","evidence_depth","full_text_access_status","evidence_location","final_record_id","corpus_action","source_proposed_corpus_record","raw_snapshot","notes"
"A1AC-0011","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","High-dimensional change-point detection under sparse alternatives","Farida Enikeeva; Zaïd Harchaoui","2019","10.1214/18-aos1740","https://openalex.org/W2963416868","A1-DUP-0011","A1AC-0011","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0011","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0012","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Hypothesis testing with e-values","Aaditya Ramdas; Ruodu Wang","2024","10.48550/arxiv.2410.23614","https://openalex.org/W4404346919","A1-DUP-0012","A1AC-0012","SOURCE_LEDGER_GROUP","AC","A1AC-DUP-0012","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0013","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","The landscape of empirical risk for nonconvex losses","Song Mei; Yu Bai; Andrea Montanari","2018","10.1214/17-aos1637","https://openalex.org/W2963122491","A1-DUP-0013","A1AC-0013","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0013","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0014","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Peeking with PEAK: Sequential, Nonparametric Composite Hypothesis Tests for Means of Multiple Data Streams","Brian Cho; Kyra Gan; Nathan Kallus","2024","10.48550/arxiv.2402.06122","https://openalex.org/W4391766500","A1-DUP-0014","A1AC-0014","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0014","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0015","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Generic E-variables for exact sequential <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si736.svg"" display=""inline"" id=""d1e327""><mml:mi>k</mml:mi></mml:math>-sample tests that allow for optional stopping","Rosanne Turner; Alexander Ly; Peter Grünwald","2023","10.1016/j.jspi.2023.106116","https://openalex.org/W4388195981","A1-DUP-0015","A1AC-0015","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0015","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0016","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Graphing Sample Distributions for Hypothesis Testing","","2021","10.4135/9781529630213.n2","10.4135/9781529630213.n2","A1-DUP-0016","A1AC-0016","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0016","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0017","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Active Fixed-Sample-Size Hypothesis Testing via POMDP Value Function Lipschitz Bounds","Timothy L. Molloy; Girish N. Nair","2024","10.23919/acc60939.2024.10644574","10.23919/acc60939.2024.10644574","A1-DUP-0017","A1DEF-0006","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0017","FALSE_POSITIVE","DUPLICATE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","CROSS_WORKSTREAM_DUPLICATE_OF=A1DEF-0006;MATCH_BASIS=SOURCE_LEDGER_GROUP;NORMALIZED_DOI;SOURCE_DISPOSITION=FALSE_POSITIVE","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0018","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Sample Size Determination for Bayesian Informative Hypothesis Testing","; Qianrao Fu","","10.33540/1221","10.33540/1221","A1-DUP-0018","A1AC-0018","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0018","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0019","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing with One Sample","","2014","10.4324/9781315797564-13","10.4324/9781315797564-13","A1-DUP-0019","A1AC-0019","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0019","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0020","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing and One-Sample t Tests","","2012","10.4135/9781071878989.n12","10.4135/9781071878989.n12","A1-DUP-0020","A1AC-0020","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0020","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0021","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing","","2009","10.1017/cbo9780511806957.004","10.1017/cbo9780511806957.004","A1-DUP-0021","A1AC-0021","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0021","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0022","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Sample Size and Hypothesis Testing","","2023","10.1002/9781119800002.ch14","10.1002/9781119800002.ch14","A1-DUP-0022","A1AC-0022","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0022","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0023","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Large Sample Hypothesis Testing","Anthony Almudevar","2021","10.1201/9781003049340-14","10.1201/9781003049340-14","A1-DUP-0023","A1AC-0023","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0023","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0024","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","On a two-sample procedure for testing Student's hypothesis using mean range","Josef Machek","1959","10.21136/am.1959.102662","10.21136/am.1959.102662","A1-DUP-0024","A1AC-0024","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0024","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0025","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing: Two‐Sample Case","","2007","10.1002/9780470388303.ch9","10.1002/9780470388303.ch9","A1-DUP-0025","A1AC-0025","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0025","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0026","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing: One‐Sample Case","","2007","10.1002/9780470388303.ch8","10.1002/9780470388303.ch8","A1-DUP-0026","A1AC-0026","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0026","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0027","A-C","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Corrigendum: Small Sample Methods for Cluster-Robust Variance Estimation and Hypothesis Testing in Fixed Effects Models","","2023","10.1080/07350015.2023.2174123","10.1080/07350015.2023.2174123","A1-DUP-0027","A1AC-0027","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0027","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
