"phase2_record_id","workstream","search_source","query_id","date","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_level","final_record_id","notes"
"B-AUDIT-000011","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Decision letter for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v1/decision1","10.1002/btpr.3413/v1/decision1","B-10.1002/btpr.3413/v1/decision1","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000012","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Elucidation of the metabolic mechanism for malate production in Myceliophthora thermophila via 13C metabolic flux analysis","Junfeng Jiang; Defei Liu; Chaoguang Tian; Jianye Xia","2022","10.21203/rs.3.rs-2123109/v1","10.21203/rs.3.rs-2123109/v1","B-10.21203/rs.3.rs-2123109/v1","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000013","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Evaluation of isotope discrimination in 13C-based metabolic flux analysis","Xueyang Feng; Yinjie J. Tang","2011","10.1016/j.ab.2011.06.022","10.1016/j.ab.2011.06.022","B-10.1016/j.ab.2011.06.022","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000014","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C-Metabolic Flux Analysis and Metabolic Regulation","Yu Matsuoka; Kazuyuki Shimizu","2012","10.5772/35121","10.5772/35121","B-10.5772/35121","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000015","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Selection of tracers for 13C-Metabolic Flux Analysis using Elementary Metabolite Units (EMU) basis vector methodology","Scott B. Crown; Maciek R. Antoniewicz","2012","10.1016/j.ymben.2011.12.005","10.1016/j.ymben.2011.12.005","B-10.1016/j.ymben.2011.12.005","DUPLICATE","DUPLICATE_OF_P0005","LEVEL_3_DISCOVERY_ONLY","P0005","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000016","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Investigating E. coli Coculture for Resveratrol Production with 13C Metabolic Flux Analysis","","","10.1021/acs.jafc.9b07628.s001","10.1021/acs.jafc.9b07628.s001","B-10.1021/acs.jafc.9b07628.s001","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000017","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Metabolic mechanism of Saccharomyces cerevisiae under different physiological conditions based on non-stationary 13C metabolic flux analysis","Huan Li; Min Chen; Peng Liu; Shuai Wang; JY Xia","2020","10.21203/rs.3.rs-26832/v1","10.21203/rs.3.rs-26832/v1","B-10.21203/rs.3.rs-26832/v1","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000018","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C Metabolic Flux Analysis","Wolfgang Wiechert","2001","10.1006/mben.2001.0187","10.1006/mben.2001.0187","B-10.1006/mben.2001.0187","DUPLICATE","DUPLICATE_OF_P0001","LEVEL_3_DISCOVERY_ONLY","P0001","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000019","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Author response for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","Kaste, Joshua A.M.; Shachar-Hill, Yair","2023","10.1002/btpr.3413/v2/response1","10.1002/btpr.3413/v2/response1","B-10.1002/btpr.3413/v2/response1","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000020","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Validation-based model selection for 13C metabolic flux analysis with uncertain measurement errors","Nicolas Sundqvist; Nina Grankvist; Jeramie Watrous; Jain Mohit; Roland Nilsson; Gunnar Cedersund","2022","10.1371/journal.pcbi.1009999","10.1371/journal.pcbi.1009999","B-10.1371/journal.pcbi.1009999","DUPLICATE","DUPLICATE_OF_P0030","LEVEL_3_DISCOVERY_ONLY","P0030","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000021","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C-Metabolic flux analysis of soybean somatic embryos for identification of metabolic control points in developing seed","Quyen Xuan Truong","","10.31274/etd-180810-3030","10.31274/etd-180810-3030","B-10.31274/etd-180810-3030","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000022","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Parallel labeling experiments validate Clostridium acetobutylicum metabolic network model for 13C metabolic flux analysis","Jennifer Au; Jungik Choi; Shawn W. Jones; Keerthi P. Venkataramanan; Maciek R. Antoniewicz","2014","10.1016/j.ymben.2014.08.002","10.1016/j.ymben.2014.08.002","B-10.1016/j.ymben.2014.08.002","DUPLICATE","DUPLICATE_OF_P0015","LEVEL_3_DISCOVERY_ONLY","P0015","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000023","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C metabolic flux analysis at a genome-scale","Saratram Gopalakrishnan; Costas D. Maranas","2015","10.1016/j.ymben.2015.08.006","10.1016/j.ymben.2015.08.006","B-10.1016/j.ymben.2015.08.006","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000024","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","An Introduction to 13C Metabolic Flux Analysis","Wolfgang Wiechert","2002","10.1007/978-1-4615-0721-5_10","10.1007/978-1-4615-0721-5_10","B-10.1007/978-1-4615-0721-5_10","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000025","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Rethinking 13C-metabolic flux analysis – The Bayesian way of flux inference","Axel Theorell; Johann F. Jadebeck; Wolfgang Wiechert; Johnjoe McFadden; Katharina Nöh","2024","10.1016/j.ymben.2024.03.005","10.1016/j.ymben.2024.03.005","B-10.1016/j.ymben.2024.03.005","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000026","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C-Metabolic Flux Analysis for Escherichia coli","Yu Matsuoka; Kazuyuki Shimizu","2014","10.1007/978-1-4939-1170-7_16","10.1007/978-1-4939-1170-7_16","B-10.1007/978-1-4939-1170-7_16","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000027","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","GC-MS-Based 13C Metabolic Flux Analysis","Judith Becker; Christoph Wittmann","2014","10.1007/978-1-4939-1170-7_10","10.1007/978-1-4939-1170-7_10","B-10.1007/978-1-4939-1170-7_10","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000028","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Model validation and selection in metabolic flux analysis and flux balance analysis","Joshua A. M. Kaste; Yair Shachar‐Hill","2023","10.1002/btpr.3413","10.1002/btpr.3413","B-10.1002/btpr.3413","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000029","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C-metabolic flux analysis of co-cultures: A novel approach","Nikodimos A. Gebreselassie; Maciek R. Antoniewicz","2015","10.1016/j.ymben.2015.07.005","10.1016/j.ymben.2015.07.005","B-10.1016/j.ymben.2015.07.005","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000030","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C Metabolic Flux Analysis","Meghna Rajvanshi; Kareenhalli V. Venkatesh","2013","10.1007/978-1-4419-9863-7_699","10.1007/978-1-4419-9863-7_699","B-10.1007/978-1-4419-9863-7_699","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000031","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C-Based Metabolic Flux Analysis of Recombinant Pichia pastoris","Pau Ferrer; Joan Albiol","2014","10.1007/978-1-4939-1170-7_17","10.1007/978-1-4939-1170-7_17","B-10.1007/978-1-4939-1170-7_17","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000032","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Synergy between 13C-metabolic flux analysis and flux balance analysis for understanding metabolic adaption to anaerobiosis in E. coli","Xuewen Chen; Ana P. Alonso; Doug K. Allen; Jennifer L. Reed; Yair Shachar-Hill","2011","10.1016/j.ymben.2010.11.004","10.1016/j.ymben.2010.11.004","B-10.1016/j.ymben.2010.11.004","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000033","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Publishing 13C metabolic flux analysis studies: A review and future perspectives","Scott B. Crown; Maciek R. Antoniewicz","2013","10.1016/j.ymben.2013.08.005","10.1016/j.ymben.2013.08.005","B-10.1016/j.ymben.2013.08.005","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000034","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Microbial Metabolic Flux Analysis Using Position-Specific 13C-Labelled Glucose and Fragment 13C Analysis of Plfa","W. Wu; P. Dijkstra; M. A. Dippold","2019","10.3997/2214-4609.201902875","10.3997/2214-4609.201902875","B-10.3997/2214-4609.201902875","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000035","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Optimization of Steady-State 13C-Labeling Experiments for Metabolic Flux Analysis","Nicholas J. Kruger; Shyam K. Masakapalli; R. George Ratcliffe","2013","10.1007/978-1-62703-688-7_4","10.1007/978-1-62703-688-7_4","B-10.1007/978-1-62703-688-7_4","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000036","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Respirometric 13C flux analysis—Part II: In vivo flux estimation of lysine-producing Corynebacterium glutamicum","Tae Hoon Yang; Christoph Wittmann; Elmar Heinzle","2006","10.1016/j.ymben.2006.03.002","10.1016/j.ymben.2006.03.002","B-10.1016/j.ymben.2006.03.002","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000037","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C Metabolic Flux Analysis of acetate conversion to lipids by Yarrowia lipolytica","Nian Liu; Kangjian Qiao; Gregory Stephanopoulos","2016","10.1016/j.ymben.2016.06.006","10.1016/j.ymben.2016.06.006","B-10.1016/j.ymben.2016.06.006","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000038","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","In Vivo NMR for 13C metabolic Flux Analysis","Albrecht Roscher; Stéphanie Troufflard; Abdelghani Idrissi Taghki","2013","10.1007/978-1-62703-688-7_10","10.1007/978-1-62703-688-7_10","B-10.1007/978-1-62703-688-7_10","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000039","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C-metabolic flux analysis of Saccharomyces cerevisiae in complex media","Hayato Fujiwara; Nobuyuki Okahashi; Taisuke Seike; Fumio Matsuda","2025","10.1016/j.mec.2025.e00260","10.1016/j.mec.2025.e00260","B-10.1016/j.mec.2025.e00260","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000040","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Metabolic Flux Analysis in Synechocystis Using Isotope Distribution from 13C-Labeled Glucose","Chen Yang; Qiang Hua; Kazuyuki Shimizu","2002","10.1006/mben.2002.0226","10.1006/mben.2002.0226","B-10.1006/mben.2002.0226","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000041","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","A Universal Framework for 13C Metabolic Flux Analysis","Wolfgang Wiechert; Michael Möllney; Sören Petersen; Albert A. de Graaf","2001","10.1006/mben.2001.0188","10.1006/mben.2001.0188","B-10.1006/mben.2001.0188","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000042","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","The Metabolic Flux Probe (MFP)—Secreted Protein as a Non-Disruptive Information Carrier for 13C-Based Metabolic Flux Analysis","Christian Dusny; Andreas Schmid","2021","10.3390/ijms22179438","10.3390/ijms22179438","B-10.3390/ijms22179438","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000043","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Two-Scale 13C Metabolic Flux Analysis for Metabolic Engineering","David Ando; Hector Garcia Martin","2018","10.1007/978-1-4939-7295-1_21","10.1007/978-1-4939-7295-1_21","B-10.1007/978-1-4939-7295-1_21","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000044","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C-Metabolic flux analysis of 3T3-L1 adipocytes illuminates its core metabolism under hypoxia","Eleanor H. Oates; Maciek R. Antoniewicz","2023","10.1016/j.ymben.2023.02.002","10.1016/j.ymben.2023.02.002","B-10.1016/j.ymben.2023.02.002","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000045","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Metabolic networks in motion: 13C‐based flux analysis","Uwe Sauer","2006","10.1038/msb4100109","10.1038/msb4100109","B-10.1038/msb4100109","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000046","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C metabolic flux analysis clarifies distinct metabolic phenotypes of cancer cell spheroid mimicking tumor hypoxia","Shingo Noguchi; Kenichi Wakita; Fumio Matsuda; Hiroshi Shimizu","2022","10.1016/j.ymben.2022.07.008","10.1016/j.ymben.2022.07.008","B-10.1016/j.ymben.2022.07.008","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000047","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Integration of a constraint-based metabolic model of Brassica napus developing seeds with 13C-metabolic flux analysis","Jordan O. Hay; Hai Shi; Nicolas Heinzel; Inga Hebbelmann; Hardy Rolletschek; Jorg Schwender","2014","10.3389/fpls.2014.00724","10.3389/fpls.2014.00724","B-10.3389/fpls.2014.00724","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000048","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","A comprehensive metabolic profile of cultured astrocytes using isotopic transient metabolic flux analysis and 13C-labeled glucose","Ana Amaral","2011","10.3389/fnene.2011.00005","10.3389/fnene.2011.00005","B-10.3389/fnene.2011.00005","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000049","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C-metabolic flux analysis of Actinobacillus succinogenes fermentative metabolism at different NaHCO3 and H2 concentrations","James B. McKinlay; Claire Vieille","2008","10.1016/j.ymben.2007.08.004","10.1016/j.ymben.2007.08.004","B-10.1016/j.ymben.2007.08.004","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000050","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","13C metabolic flux analysis of the extremely thermophilic, fast growing, xylose-utilizing Geobacillus strain LC300","Lauren T. Cordova; Maciek R. Antoniewicz","2016","10.1016/j.ymben.2015.06.004","10.1016/j.ymben.2015.06.004","B-10.1016/j.ymben.2015.06.004","TITLE_ABSTRACT_EXCLUDED","GENERAL_MFA_OR_APPLICATION_NO_MODEL_DISCRIMINATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000051","B","OpenAlex","PHASE2-SEARCH-0101","2026-07-31","Validation-based model selection for 13C metabolic flux analysis with uncertain measurement errors","Nicolas Sundqvist; Nina Grankvist; Jeramie D. Watrous; Mohit Jain; Roland Nilsson; Gunnar Cedersund","2022","https://doi.org/10.1371/journal.pcbi.1009999","https://openalex.org/W4223583835","B-10.1371/journal.pcbi.1009999","DUPLICATE","DUPLICATE_OF_P0030","LEVEL_3_DISCOVERY_ONLY","P0030","anchor result from the stated anchor."
"B-AUDIT-000052","B","OpenAlex","PHASE2-SEARCH-0101","2026-07-31","Hallmarks of Cancer: The Next Generation","Douglas Hanahan; Robert A. Weinberg","2011","https://doi.org/10.1016/j.cell.2011.02.013","https://openalex.org/W2117692326","B-10.1016/j.cell.2011.02.013","TITLE_ABSTRACT_EXCLUDED","CITATION_CONTEXT_ONLY_NO_NEW_MODEL_DISCRIMINATION_METHOD_FAMILY","LEVEL_3_DISCOVERY_ONLY","","backward citation result from the stated anchor."
